Human,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
HTATSF1,1149,385,1191,857,1062,1167
BRS3,0,0,0,0,0,0
ADGRG4,0,0,0,0,0,0
MAP7D3,131,30,0,8,110,85
FHL1,294,496,17,928,330,299
SLC9A6,958,172,447,1300,591,584
MMGT1,167,387,208,292,243,123
SAGE1,0,6,0,0,0,0
CT45A10,0,0,0,0,0,0
CT45A9,0,0,0,0,0,0
CT45A8,0,0,0,0,0,0
CT45A7,0,0,0,0,0,0
CT45A2,0,0,0,0,0,0
CT45A6,0,0,0,0,0,0
CT45A5,0,0,0,0,0,0
CT45A3,0,0,0,0,0,0
CT45A1,8,0,0,0,0,0
INTS6L,319,194,201,138,46,262
INTS6L-AS1,0,0,0,0,0,0
SMIM10L2A,208,22,204,610,500,10
LOC100506790,0,0,0,0,0,0
ZNF449,287,48,17,30,100,186
LOC105373342,0,0,0,0,0,0
LOC101928677,0,0,0,0,0,0
ZNF75D,183,190,232,128,63,207
CT55,0,0,0,0,0,0
LOC100287728,0,0,0,0,0,0
LINC00633,0,0,0,0,0,0
SMIM10L2B,84,260,0,307,55,156
FAM127B,136,3,48,81,235,2
FAM127A,299,50,738,472,119,425
FAM127C,28,0,356,39,0,1
SMIM10,432,97,185,0,64,268
LOC340581,0,3,0,0,0,0
MOSPD1,275,0,200,30,82,0
FAM122C,6,3,1,49,18,5
FAM122B,245,157,673,385,211,630
PLAC1,0,0,0,0,0,0
LINC00629,0,0,0,0,0,0
MIR424,0,0,0,0,0,0
MIR503,0,0,0,0,0,0
MIR503HG,1,0,0,0,0,0
MIR542,0,0,0,0,0,0
MIR450A2,0,0,0,0,0,0
MIR450A1,0,0,0,0,0,0
MIR450B,0,0,0,0,0,0
HPRT1,300,2,1,329,48,1
PHF6,175,169,227,255,198,9
CCDC160,0,0,0,0,85,30
MIR106A,0,0,0,0,0,0
MIR18B,0,0,0,0,0,0
MIR20B,0,0,0,0,0,0
MIR19B2,0,0,0,0,0,0
MIR92A2,0,0,0,0,0,0
MIR363,0,0,0,0,0,0
GPC3,0,238,18,0,0,0
GPC4,80,9,862,90,17,2
TFDP3,0,0,0,0,0,0
LOC107983959,0,0,0,0,0,0
USP26,0,0,0,0,0,0
HS6ST2-AS1,0,0,0,0,0,0
HS6ST2,6,148,0,119,3,0
MBNL3,7,202,78,111,23,7
RAP2C-AS1,1,0,0,0,2,0
RAP2C,357,347,97,193,156,2
FRMD7,0,0,0,0,0,0
STK26,6,0,0,0,0,0
FIRRE,69,0,84,0,91,3
OR13H1,0,0,0,0,0,0
LOC107985705,0,0,0,0,0,0
LOC102723546,0,1,0,0,0,0
IGSF1,82,0,199,3,22,5
ARHGAP36,1,0,3,2,0,0
LINC01201,0,0,0,0,0,0
LOC105373338,0,0,0,0,0,0
ENOX2,6,70,387,34,159,362
LOC105373336,0,0,0,0,0,0
FAM45BP,2,8,1,7,0,15
RBMX2,172,237,83,179,78,0
GPR119,0,0,0,0,0,0
SLC25A14,174,0,227,135,52,1
ZNF280C,1,0,189,107,39,0
AIFM1,167,189,0,129,265,148
RAB33A,10,29,0,27,5,26
ELF4,0,2,0,25,0,183
BCORL1,44,0,71,171,15,196
LOC105373335,0,0,0,30,1,0
UTP14A,137,17,88,45,53,5
ZDHHC9,1087,602,1988,500,906,1146
SASH3,124,0,1,15,70,83
XPNPEP2,0,206,0,0,0,0
LOC105373334,0,0,0,0,0,0
APLN,161,2,565,67,1,190
OCRL,338,330,678,503,231,216
SMARCA1,862,477,70,666,465,717
LOC107985684,0,0,0,4,106,4
LOC107985699,0,0,0,0,0,0
LOC107985698,33,0,0,4,0,0
ACTRT1,0,0,0,0,26,0
LOC105373333,0,0,0,0,0,0
LOC105373332,0,0,0,0,0,0
LOC107985709,0,0,0,0,0,0
LOC107985650,0,0,0,0,0,0
LOC107985666,0,0,0,0,0,0
PRR32,0,0,0,0,77,0
DCAF12L1,0,0,0,0,0,0
LOC107985648,0,0,1,0,0,0
DCAF12L2,0,0,0,0,0,0
LOC101928495,0,0,0,0,0,0
TEX13C,0,0,0,0,0,0
LOC105373331,0,0,0,0,0,0
TENM1,57,452,25,334,847,273
SH2D1A,0,0,0,0,0,0
STAG2,809,155,2114,665,817,614
LOC101928402,0,0,0,0,0,0
XIAP,607,292,450,759,258,192
THOC2,1447,303,1424,459,598,762
GRIA3,449,333,175,1835,2107,819
LOC101928359,0,0,0,0,0,0
MIR3672,0,0,0,0,0,0
GLUD2,66,5,20,72,13,67
LOC105373328,0,0,0,41,0,1
CT47A1,0,0,0,0,0,0
CT47A2,0,0,0,0,0,0
CT47A3,0,0,0,0,0,0
CT47A4,0,0,0,0,0,0
CT47A5,0,0,0,0,0,0
CT47A6,0,0,0,0,0,0
CT47A7,0,0,0,0,0,0
CT47A8,0,0,0,0,0,0
CT47A9,0,0,0,0,0,0
CT47A10,0,0,0,0,0,0
CT47A11,0,0,0,0,0,0
CT47A12,0,0,0,0,0,0
CT47B1,0,0,0,0,0,0
C1GALT1C1,16,1,0,82,61,96
MCTS1,4,85,11,142,65,72
CUL4B,788,374,940,603,716,808
LAMP2,2001,1047,2164,2231,901,3158
ATP1B4,0,0,0,0,0,0
TMEM255A,1,0,26,34,83,13
ZBTB33,730,87,448,338,57,372
NKAPP1,0,0,153,37,32,7
RHOXF2,0,0,0,0,0,0
LINC01402,0,0,0,0,0,0
RHOXF1,0,0,0,0,0,0
RHOXF2B,0,0,0,0,0,0
RHOXF1-AS1,0,1,0,0,0,0
RHOXF1P1,0,0,0,0,0,0
LOC105373323,0,0,0,0,0,0
NKAP,2,70,44,70,52,6
AKAP14,0,0,0,0,0,0
NDUFA1,626,662,387,241,685,42
RNF113A,0,1,335,26,18,0
UPF3B,276,179,387,207,208,600
LOC107985694,0,33,0,0,0,0
SNORA69,0,0,0,0,0,0
RPL39,0,0,0,1,1,0
SOWAHD,0,0,0,0,0,0
MIR766,0,0,0,0,0,0
SEPT6,244,184,356,311,51,311
NKRF,23,7,29,328,24,54
UBE2A,312,184,80,237,64,7
CXorf56,182,1,14,88,125,1
LOC107985719,0,0,0,0,0,0
SLC25A5,950,263,496,996,280,51
SLC25A5-AS1,0,37,1,5,84,0
SLC25A43,0,20,0,0,72,132
LOC101928336,0,0,0,0,0,0
LOC107985692,1,0,69,0,0,0
PGRMC1,1481,284,737,758,157,994
KIAA1210,5,0,0,0,0,0
LONRF3,303,34,116,348,70,104
LINC01285,0,0,0,0,0,0
ZCCHC12,413,1,1,375,0,2
LOC101928242,0,0,0,0,0,0
IL13RA1,1219,568,4130,190,56,1312
DOCK11,182,32,327,95,213,446
MIR1277,0,0,0,0,0,0
WDR44,105,169,512,348,227,400
KLHL13,0,0,26,55,12,0
LOC100126447,0,0,0,0,0,0
LOC105373320,0,0,0,0,0,0
CT83,0,0,0,0,0,0
SLC6A14,0,0,0,0,0,0
AGTR2,0,0,0,0,0,0
DANT2,17,1,117,9,166,0
LOC105373315,0,0,0,0,0,0
PLS3,1309,101,880,620,254,1045
PLS3-AS1,1,0,0,6,0,0
LOC105373314,0,0,0,0,0,0
LOC107985681,0,0,0,0,0,0
LUZP4,0,0,0,0,0,0
RBMXL3,0,0,0,0,0,0
LRCH2,21,0,49,184,89,11
IL13RA2,0,0,0,0,0,0
MIR448,0,0,0,0,0,0
MIR1911,0,0,0,0,0,0
LOC105373313,0,0,0,0,0,0
MIR1298,0,0,0,0,0,0
MIR1264,0,0,0,0,0,0
MIR1912,0,0,0,0,0,0
MIR764,0,0,0,0,0,0
SNORA35,0,0,0,0,0,0
HTR2C,2,0,5,64,0,261
LOC102724491,0,0,0,0,0,0
XACT,0,0,0,0,0,0
LOC101928437,0,0,0,0,0,0
LOC107985651,0,0,0,0,0,0
MIR4329,0,0,0,1,0,0
AMOT,1430,491,2043,1508,1883,3123
LHFPL1,0,0,0,26,4,0
ZCCHC16,0,0,0,0,0,0
TRPC5OS,0,0,0,0,0,0
TRPC5,10,0,8,114,2,19
ALG13,113,93,545,305,360,1018
LINC00890,0,0,0,0,0,0
DCX,2,0,0,283,1,0
CAPN6,0,0,0,0,0,0
PAK3,1340,203,361,2475,162,1068
CHRDL1,289,10,123,448,678,104
TDGF1P3,0,0,0,0,0,0
RGAG1,0,0,0,0,37,0
LOC105373312,0,0,0,0,0,0
SNORD96B,0,0,0,0,0,0
AMMECR1,0,77,0,43,0,10
LOC101928589,0,0,0,0,0,0
MIR3978,0,0,0,0,0,0
MIR652,0,0,0,0,0,0
TMEM164,19,61,305,157,233,441
LOC105373311,0,0,0,12,0,0
ACSL4,784,41,154,924,93,460
KCNE5,0,30,0,0,1,0
NXT2,32,0,56,32,15,15
GUCY2F,0,0,0,0,0,0
MIR6087,0,7,116,24,15,18
LOC101928358,0,0,0,21,0,0
IRS4,13,0,0,14,1,0
COL4A5,236,7,83,183,760,143
COL4A6,0,5,0,12,0,68
ATG4A,197,2,239,30,5,278
PSMD10,735,490,41,222,154,38
VSIG1,0,0,0,0,0,46
TEX13B,0,0,0,0,0,0
LOC105373310,0,0,0,17,0,0
LOC101928335,0,0,0,35,0,0
MID2,103,19,377,102,24,4
TSC22D3,501,2485,2161,275,1761,365
PRPS1,103,124,165,300,53,180
LOC105373308,0,17,0,0,0,0
FRMPD3,112,42,140,115,229,151
FRMPD3-AS1,0,0,0,0,0,0
PIH1D3,0,0,0,0,0,0
NUP62CL,0,0,0,0,0,0
RBM41,218,235,240,233,137,314
MORC4,322,153,16,47,35,25
CLDN2,0,0,0,0,0,0
RIPPLY1,0,0,0,0,0,0
TBC1D8B,13,45,0,30,1,1
RNF128,4,3,0,20,0,1
MIR548AN,0,0,0,0,0,0
CXorf57,98,0,0,11,41,1
LOC105373306,0,0,0,0,0,0
MUM1L1,1,2,1,122,1,115
SERPINA7,0,0,0,0,0,0
LOC105373305,0,0,0,0,0,0
LOC105373304,0,0,0,0,0,0
NRK,0,0,0,0,0,0
LOC105373303,0,0,0,0,0,0
LOC107985680,0,0,0,0,0,0
TEX13A,0,0,0,0,0,0
IL1RAPL2,0,0,0,1,0,0
ESX1,0,0,0,0,0,0
FAM199X,1338,1005,247,1361,636,499
LOC286437,295,26,281,94,221,8
ZCCHC18,111,28,14,54,50,0
SLC25A53,55,0,0,70,4,0
LOC100101478,0,0,0,0,0,0
LOC107985662,0,0,0,0,0,0
H2BFM,0,0,0,0,0,0
H2BFWT,0,0,0,0,0,0
LOC107987334,0,0,0,0,0,0
H2BFXP,0,0,0,0,0,0
TMSB15B,0,0,0,0,0,0
LL0XNC01-116E7.2,0,0,0,0,0,0
RAB9B,104,0,29,213,28,318
PLP1,19289,2389,13611,12977,9122,15913
LOC107985661,0,0,0,21,0,0
TMEM31,0,0,0,11,0,0
GLRA4,0,0,0,1,0,0
MORF4L2-AS1,0,66,0,0,0,0
MORF4L2,1433,129,1540,1532,375,912
TCEAL1,127,3,287,188,77,1
TCEAL3,685,665,647,569,981,1043
LOC105373302,0,1,0,1,0,3
TCEAL4,1351,782,2770,1021,1862,724
LOC107983972,0,0,0,25,0,0
LOC105373300,0,0,0,0,0,0
RAB40A,0,0,0,21,39,0
LL0XNC01-250H12.3,1,53,35,2,7,12
BEX3,2600,602,1116,2345,1052,1437
TCEAL9,266,166,510,70,63,307
TCEAL7,72,4,1,225,212,141
BEX2,867,172,67,607,500,20
TCEAL5,402,42,430,797,537,156
TCEAL8,178,450,14,263,103,654
BEX4,577,221,392,1015,553,674
NXF3,0,0,0,0,0,0
BEX1,630,58,319,1965,71,46
RAB40AL,0,0,0,0,0,0
LINC00630,244,3,0,76,53,0
BHLHB9,463,2,111,291,95,195
GPRASP2,48,0,0,20,5,0
GPRASP1,1499,1124,404,2059,1095,1291
ARMCX5-GPRASP2,0,0,0,0,0,8
ARMCX5,0,1,231,41,3,11
NXF4,0,0,0,0,0,0
TMSB15A,0,0,0,0,0,0
TCP11X2,0,0,0,0,0,0
NXF2B,0,0,0,0,0,0
NXF2,0,0,0,0,0,0
TCP11X1,0,0,0,0,0,0
BEX5,189,0,152,620,81,34
LOC105373299,5,0,0,0,0,0
TCEAL6,255,5,7,442,160,291
TCEAL2,201,33,302,757,283,542
ZMAT1,27,782,993,320,1045,875
NXF5,0,0,0,0,0,0
ARMCX2,339,207,427,461,415,97
ARMCX3,1153,182,840,1210,386,1704
ARMCX6,0,12,0,25,83,0
ARMCX1,164,53,100,162,248,8
ARMCX4,343,94,766,488,182,741
HNRNPH2,16,0,0,2,0,0
GLA,0,0,0,25,56,0
RPL36A,0,0,123,1,0,0
RPL36A-HNRNPH2,0,0,0,0,0,0
BTK,0,0,0,55,0,4
TIMM8A,116,0,96,119,4,14
TAF7L,0,0,0,13,0,0
DRP2,26,5,1,612,91,18
CENPI,0,0,35,0,11,0
TMEM35A,560,7,39,209,235,0
TRMT2B,38,195,138,184,216,71
ARL13A,0,0,0,0,0,0
XKRX,14,6,13,7,27,0
NOX1,0,0,0,0,0,0
CSTF2,1,155,452,53,106,77
SYTL4,203,232,278,15,267,128
SRPX2,65,0,189,9,0,204
TSPAN6,302,236,383,72,269,7
LOC105373298,0,0,0,0,0,0
TNMD,0,0,0,0,0,0
PCDH19,336,196,85,585,203,102
XRCC6P5,1,0,0,0,0,0
LOC105373297,0,0,0,0,0,0
DIAPH2-AS1,0,0,0,0,0,0
RPA4,0,0,0,0,0,0
DIAPH2,97,36,417,171,198,26
LOC105373296,0,0,0,0,0,0
LOC107985714,0,0,0,0,0,0
LOC105373294,0,0,0,0,0,0
BRDTP1,0,0,0,0,0,0
MIR548M,0,0,0,0,0,0
LOC107985710,0,0,0,0,0,0
LOC107985647,0,0,0,0,0,0
LOC107985704,0,0,0,0,0,0
FAM133A,1,1,1,95,37,0
NAP1L3,165,0,185,728,175,459
PCDH11X,161,0,5,390,21,178
LOC105373293,0,0,0,0,0,0
PABPC5,0,0,55,67,0,0
PABPC5-AS1,4,0,0,0,0,0
LOC107985700,0,0,0,0,0,0
LOC105373292,0,0,0,0,0,0
TGIF2LX,0,0,0,0,0,0
LOC102724150,0,0,0,0,0,0
LOC107985653,0,0,0,0,0,0
CPXCR1,0,0,0,0,0,0
LOC107985713,0,0,0,0,0,0
KLHL4,271,38,0,199,164,192
DACH2,186,0,0,172,292,2
MIR361,0,0,0,0,0,0
CHM,459,100,692,513,156,219
MIR1321,0,0,0,0,0,0
POF1B,0,0,0,0,0,0
ZNF711,247,45,43,513,306,520
LOC101928128,0,0,0,0,0,0
LOC105369163,0,4,0,0,0,0
SATL1,0,0,0,0,2,0
APOOL,470,236,173,515,470,137
UBE2DNL,0,0,0,0,0,0
HDX,137,0,80,50,109,7
MIR548I4,0,0,0,0,0,0
RPS6KA6,398,2,39,174,47,142
CYLC1,0,0,0,0,0,0
POU3F4,18,223,0,50,282,0
LOC107985635,0,0,0,0,0,0
LOC105373288,0,9,0,0,0,0
LOC105373287,0,0,0,0,0,0
LOC105373286,0,0,0,0,0,0
LOC105373285,0,0,0,0,0,9
LOC105373284,0,0,0,26,57,0
SH3BGRL,767,500,1560,450,211,393
HMGN5,35,65,199,93,131,112
LOC105373283,0,0,0,0,0,0
BRWD3,766,480,840,392,392,1689
FAM46D,0,0,0,0,0,0
CHMP1B2P,0,0,0,0,0,0
TBX22,0,0,0,0,0,0
LOC105373282,0,0,0,0,0,0
ITM2A,4557,1490,6822,319,69,501
GPR174,0,0,0,0,0,0
LOC107985690,1,0,9,0,0,0
P2RY10,0,0,0,0,0,0
MIR4328,0,0,0,0,0,0
LPAR4,0,0,0,0,5,0
ZCCHC5,0,0,0,0,0,0
LOC107985670,0,0,0,0,0,0
CYSLTR1,51,0,92,11,0,0
LOC107985669,0,0,0,0,0,0
TAF9B,411,29,385,111,79,191
PGK1,944,321,1258,1468,715,637
PGAM4,0,0,0,0,0,0
ATP7A,251,53,206,112,14,525
COX7B,101,151,86,161,14,172
MAGT1,771,14,556,121,99,800
ATRX,2466,1766,5112,2735,1432,2973
FGF16,0,0,0,0,0,0
LOC105373254,0,0,0,0,0,0
MIR325,0,0,0,4,0,0
MIR384,0,0,0,0,0,0
MIR325HG,0,0,0,0,0,0
MAGEE1,185,6,0,605,293,255
PBDC1,11,81,84,82,93,0
LOC107985665,0,0,0,0,0,53
MAGEE2,0,0,0,30,0,14
TTC3P1,23,4,255,88,17,241
LOC107985664,1,149,0,1,125,71
ZDHHC15,5,37,41,66,33,177
UPRT,145,0,28,85,73,1
LOC107985663,0,0,0,0,0,0
ABCB7,209,23,215,121,70,46
KIAA2022,63,10,10,670,267,29
RLIM,1093,277,390,1406,679,1452
SLC16A2,643,1753,1335,407,207,151
LOC105373252,0,0,0,0,45,0
ZCCHC13,0,0,0,0,0,0
MIR374A,0,1,0,0,0,0
MIR545,0,0,0,0,12,0
MIR374C,0,0,0,0,0,0
MIR374B,0,0,0,0,0,0
